,Unnamed: 0,row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub-category,product_name,sales,year,month,day,discount,competitor_price,price_elasticity,order_days,ship_days
0,0,1,CA-2017-152156,2017-11-08,2017-11-11,2,CG-12520,Claire Gute,0,0,194,15,42420.0,2,FUR-BO-10001798,0,4,386,261.96,2017,11,8,0.2649970569752505,278.90473279973673,0.9392454454621836,1040,1039
1,1,2,CA-2017-152156,2017-11-08,2017-11-11,2,CG-12520,Claire Gute,0,0,194,15,42420.0,2,FUR-CH-10000454,0,5,838,731.94,2017,11,8,0.1848655997377077,724.3671255994268,1.0104544700234797,1040,1039
2,2,3,CA-2017-138688,2017-06-12,2017-06-16,2,DV-13045,Darrin Van Huff,1,0,265,3,90036.0,3,OFF-LA-10000240,1,10,1432,14.62,2017,6,12,0.0807587459867572,13.201339418484515,1.107463382051148,891,891
3,3,4,US-2016-108966,2016-10-11,2016-10-18,3,SO-20335,Sean O'Donnell,0,0,153,8,33311.0,2,FUR-TA-10000577,0,16,366,957.5775,2016,10,11,0.2143522967837501,915.0904869652992,1.0464293025005649,647,650
4,4,5,US-2016-108966,2016-10-11,2016-10-18,3,SO-20335,Sean O'Donnell,0,0,153,8,33311.0,2,OFF-ST-10000760,1,14,573,22.368,2016,10,11,0.1855813595953901,22.838106530256123,0.9794156958838368,647,650
5,5,6,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,FUR-FU-10001487,0,9,570,48.86,2015,6,9,0.1009669610874563,44.2968311581109,1.1030134373630829,157,158
6,6,7,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,OFF-AR-10002833,1,2,1128,7.28,2015,6,9,0.2513109510409439,7.984617296023373,0.911753153607713,157,158
7,7,8,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,TEC-PH-10002275,2,13,1091,907.152,2015,6,9,0.2531852478137113,835.0675284946836,1.0863217273401324,157,158
8,8,9,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,OFF-BI-10003910,1,3,499,18.504,2015,6,9,0.2636340711968716,20.079967056608897,0.9215154560679322,157,158
9,9,10,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,OFF-AP-10002892,1,1,302,114.9,2015,6,9,0.0547640807947841,118.11706226448332,0.9727637802464152,157,158
10,10,11,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,FUR-TA-10001539,0,16,427,1706.184,2015,6,9,0.1238772828320112,1738.942252803532,0.9811619662753498,157,158
11,11,12,CA-2015-115812,2015-06-09,2015-06-14,3,BH-11710,Brosina Hoffman,0,0,265,3,90032.0,3,TEC-PH-10002033,2,13,964,911.424,2015,6,9,0.2992319846185193,942.1644917431952,0.967372478996402,157,158
12,12,13,CA-2018-114412,2018-04-15,2018-04-20,3,AA-10480,Andrew Allen,0,0,96,31,28027.0,2,OFF-PA-10002365,1,12,1755,15.552,2018,4,15,0.2632940138717018,17.018168876814926,0.9138468487751116,1198,1199
13,13,14,CA-2017-161389,2017-12-05,2017-12-10,3,IM-15070,Irene Maddox,0,0,450,45,98103.0,3,OFF-BI-10003656,1,3,647,407.976,2017,12,5,0.1618392338598527,433.9248833068111,0.9401995960474484,1067,1068
14,14,15,US-2016-118983,2016-11-22,2016-11-26,3,HP-14815,Harold Pawlan,2,0,154,41,76106.0,0,OFF-AP-10002311,1,1,821,68.81,2016,11,22,0.236929759298569,69.8585331531908,0.9849906216769324,689,689
15,15,16,US-2016-118983,2016-11-22,2016-11-26,3,HP-14815,Harold Pawlan,2,0,154,41,76106.0,0,OFF-BI-10000756,1,3,1511,2.544,2016,11,22,0.1238587235567545,2.6068840902763464,0.9758776807488666,689,689
16,16,17,CA-2015-105893,2015-11-11,2015-11-18,3,PK-19075,Pete Kriz,0,0,271,47,53711.0,0,OFF-ST-10004186,1,14,1517,665.88,2015,11,11,0.1646551466851103,616.8010860275754,1.0795700835880668,312,315
17,17,18,CA-2015-167164,2015-05-13,2015-05-15,2,AG-10270,Alejandro Grove,0,0,511,42,84084.0,3,OFF-ST-10000107,1,14,659,55.5,2015,5,13,0.2087178762347672,57.28783963956267,0.9687919870811816,130,128
